Date,Discharge
2018-12-31,22375.547
2019-01-01,22311.406
2019-01-02,23129.309
2019-01-03,22954.238
2019-01-04,20790.71
2019-01-05,19780.484
2019-01-06,19680.553
2019-01-07,19206.05
2019-01-08,18980.332
2019-01-09,19667.658
2019-01-10,20082.572
2019-01-11,20137.826
2019-01-12,20351.166
2019-01-13,20541.598
2019-01-14,20347.27
2019-01-15,20191.81
2019-01-16,20174.797
2019-01-17,20094.05
2019-01-18,19988.113
2019-01-19,20033.479
2019-01-20,20087.844
2019-01-21,20089.695
2019-01-22,20115.3
2019-01-23,20164.877
2019-01-24,20158.598
2019-01-25,20140.578
2019-01-26,20142.299
2019-01-27,20136.186
2019-01-28,20115.365
2019-01-29,20113.865
2019-01-30,20119.613
2019-01-31,20118.004
2019-02-01,20118.455
2019-02-02,20126.498
2019-02-03,20128.344
2019-02-04,20126.543
2019-02-05,20127.443
2019-02-06,20128.1
2019-02-07,20125.223
2019-02-08,20124.135
2019-02-09,20124.703
2019-02-10,20124.305
2019-02-11,20123.729
2019-02-12,20124.68
2019-02-13,20125.2
2019-02-14,20125.012
2019-02-15,20125.158
2019-02-16,20125.492
2019-02-17,20125.209
2019-02-18,20124.986
2019-02-19,20125.05
2019-02-20,20125.01
2019-02-21,20124.846
2019-02-22,20124.918
2019-02-23,20125.01
2019-02-24,20124.984
2019-02-25,20124.988
2019-02-26,20125.062
2019-02-27,20125.049
2019-02-28,20125.014
2019-03-01,20125.023
2019-03-02,20125.027
2019-03-03,20124.996
2019-03-04,20124.996
2019-03-05,20125.01
2019-03-06,20125.008
2019-03-07,20125.002
2019-03-08,20125.014
2019-03-09,20125.016
2019-03-10,20125.01
2019-03-11,20125.012
2019-03-12,20125.014
2019-03-13,20125.01
2019-03-14,20125.01
2019-03-15,20125.01
2019-03-16,20125.01
2019-03-17,20125.01
2019-03-18,20125.01
2019-03-19,20125.01
2019-03-20,20125.01
2019-03-21,20125.01
2019-03-22,20125.01
2019-03-23,20125.01
2019-03-24,20125.01
2019-03-25,20125.01
2019-03-26,20125.01
2019-03-27,20125.01
2019-03-28,20125.01
2019-03-29,20125.01
2019-03-30,20125.01
2019-03-31,20125.01
2019-04-01,20125.01
2019-04-02,20125.01
2019-04-03,20125.01
2019-04-04,20125.01
2019-04-05,20125.01
2019-04-06,20125.01
2019-04-07,20125.01
2019-04-08,20125.01
2019-04-09,20125.01
2019-04-10,20125.01
2019-04-11,20125.01
2019-04-12,20125.01
2019-04-13,20125.01
2019-04-14,20125.01
2019-04-15,20125.01
2019-04-16,20125.01
2019-04-17,20125.01
2019-04-18,20125.01
2019-04-19,20125.01
2019-04-20,20125.01
2019-04-21,20125.01
2019-04-22,20125.01
2019-04-23,20125.01
2019-04-24,20125.01
2019-04-25,20125.01
2019-04-26,20125.01
2019-04-27,20125.01
